Title,Location,start_salary,max_salary,skills
Inside Sales,Gurgaon,10000,10000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Sales, Sales pitch"
Social Media Marketing,Work from home,5000,5000,"Client Interaction, Creative Writing, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, LinkedIn Marketing, Search Engine Optimization SEO, Social Media Marketing"
3D Animation,Work from home,25000,35000,"Autodesk Maya, Blender 3D"
Marketing,Work from home,10000,10000,"Client Relationship, Effective Communication, Market Analysis, Marketing, Marketing Strategies, Sales pitch"
Video Editing/Making,Work from home,1000,1000,"Adobe Premiere Pro, Anchoring, Final Cut Pro, Video Editing, Video Making"
Graphic Design,Work from home,3500,3500,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Indesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, CorelDRAW, UI, UX Design, Video Editing"
Business Development (Sales),Delhi,2000,2000,"Client Interaction, Client Relationship, Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel, Sales, Sales pitch, Travel Itinerary Making"
Marketing,Work from home,5000,5000,"Digital Marketing, Effective Communication"
Digital Marketing,Kolkata,25000,25000,"Digital Marketing, English Proficiency Written, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Business Development (Sales),Work from home,8000,8000,"Business Analysis, Digital Marketing, English Proficiency Written, Marketing Strategies, Market Research, Social Media Marketing"
Business Strategy,Mumbai,5000,5000,"Business Analysis, Business Research, MSExcel, Operations, Research and Analytics"
Short Video And Graphics Designing,Bhubaneswar,8000,8000,"Canva, Design Thinking, Video Editing, Video Making"
Video Editing/Making,Delhi,2000,2000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing"
Volunteering,Work from home,1500,10000,"Business Analysis, Business Research, Effective Communication, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Instagram Marketing, Marketing, MSExcel, MSWord, Recruitment, Social Media Marketing, Time Management"
Photography,Delhi,3000,6000,"Adobe Photoshop, Adobe Photoshop Lightroom CC, Photography, Video Editing, Video Making"
Video Editing/Making,Work from home,4000,6000,"Adobe Illustrator, Adobe Premiere Pro, Canva, Final Cut Pro, Video Making"
Graphic Design,Work from home,3000,3000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Indesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, Animation, CorelDRAW, UI, UX Design, Video Editing, Video Making"
Video Editing/Making,Work from home,7000,7000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, DaVinci Resolve, Final Cut Pro, Video Editing, Video Making"
Digital Marketing,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Vashi, Turbhe, Panvel",8000,10000,"Amazon Web Server AWS, Amazon Web Services AWS, Content Marketing, Content Writing, Digital Marketing, Facebook Ads, Facebook Marketing, Google AdWords, Google Analytics, Instagram Marketing, Internet of Things IoT, Marketing, Search Engine Optimization SEO, Social Media Marketing"
Mutual Fund Back Office,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Vashi, Turbhe, Panvel",8000,10000,"Advanced Excel, MSExcel, Stock Trading"
Video Editing/Making,Kolkata,6000,12000,"Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making"
Social Media Marketing,Noida,10000,10000,"Content Writing, Creative Writing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Social Media Marketing"
Inside Sales,Work from home,5000,10000,"Effective Communication, Sales, Sales pitch"
Social Media Marketing,Delhi,10000,18000,"Creative Writing, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Optimization SEO, Social Media Marketing"
Social Media Marketing,Work from home,2000,2000,"Instagram Marketing, Social Media Marketing"
Social Media Marketing,Work from home,5000,5000,"Canva, Social Media Marketing"
Research,Mumbai,7000,7000,"Business Analysis, Data Analysis, Effective Communication, MSExcel, MSWord, Time Management"
Digital Marketing,Work from home,4000,7000,"Digital Marketing, Social Media Marketing"
Social Service,Work from home,1500,12000,"Business Analysis, Client Relationship, Content Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Marketing, Problem Solving, Project Management, Social Media Marketing, Time Management"
Mern Stack Developer,Jaipur,8000,10000,"HTML, HTMLCSS, JavaScript, MongoDB, Nodejs, React, ReactJS"
Backend Development,Work from home,15000,15001,"Django, Python"
Product Management Instructor,Work from home,20000,20000,"Production Engineering, Product Management, Product Strategy, UX Research"
Youth Officer,Work from home,1500,10000,"Advanced Excel, Business Analysis, Business Research, Content Marketing, Digital Marketing, Effective Communication, Email Marketing, English Proficiency Spoken, English Proficiency Written, Market Analysis, Marketing Campaigns, MSWord, Time Management"
Human Resources (HR),Hyderabad,10000,15000,"Blockchain, Effective Communication, English Proficiency Spoken, English Proficiency Written, Ethereum, Google Workspace, MSExcel, MSOffice, MSWord, Negotiation, Problemsolving, Time Management"
Python Developer (Django Serverless),Work from home,2500,6000,"Django, MS SQL Server, Python"
CAD Design,Bangalore,20000,20000,CAD
Human Resources (HR),Mumbai,10000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
Video Editing/Making,Work from home,7000,7000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Content Writing, Final Cut Pro, Search Engine Optimization SEO, Video Editing, Video Making"
Telemarketing (Female Only),Work from home,1000,3000,"English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel, MSWord"
HR,Work from home,1000,1000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSPowerPoint, MSWord, Recruitment, Training And Development"
Architecture,Work from home,10000,11000,"Adobe Photoshop, AutoCAD, Google SketchUp"
Video Editing/Making,Work from home,4000,5000,"Adobe After Effects, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Business Development (Sales),Nagpur,20000,24000,"Operations, Sales"
Business Development (Sales),Work from home,2000,2000,"English Proficiency Spoken, English Proficiency Written"
Digital Marketing,Aurangabad,6000,6000,"Facebook Marketing, Google AdWords, Social Media Marketing"
WordPress Development,Work from home,5000,5000,"Adobe Photoshop, Search Engine Optimization SEO, WordPress"
Media & Public Relations (PR),Work from home,7000,7000,"Creative Writing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
International Business Development,Mumbai,10000,10000,"English Proficiency Spoken, English Proficiency Written, Lead Generation, Sales, Sales pitch"
Marketing,Kolkata,5000,5000,"English Proficiency Spoken, Social Media Marketing"
Content Development (English),Work from home,1000,1500,"Acting technique, Content Marketing, English Proficiency Spoken, English Proficiency Written"
Software Development,Work from home,6000,12000,"NET, C Programming, CSS, HTML, Java, JavaScript, MySQL, Nodejs, Python, ReactJS"
Cyber Security,Work from home,6000,12000,"Computer Networking, Ethical Hacking, Linux, Python, VAPT, Web Application Security"
Operations,Work from home,3000,3000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
Machine Learning,Work from home,6000,12000,"Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing NLP, Python, R Programming"
Supply Chain Management (SCM),Mumbai,5000,5000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
Digital Marketing,Work from home,2000,2000,"Email Marketing, Hindi Proficiency Spoken, Instagram Marketing, Social Media Marketing"
Social Media Marketing,Work from home,4500,4500,"Canva, Digital Marketing, Facebook Marketing, Instagram Marketing, LinkedIn Marketing, Pinterest Marketing, Search Engine Marketing SEM, Social Media Marketing"
Lead Generation,Work from home,15000,15000,"English Proficiency Spoken, English Proficiency Written, Lead Generation"
Social Media Marketing,Ghaziabad,3000,6000,"Creative Writing, Digital Marketing, Instagram Marketing, Photography, Social Media Marketing"
Photography,Mumbai,9000,9000,"Adobe Photoshop, Adobe Photoshop Lightroom CC, Photography, Video Editing, Video Making"
Social Media Marketing,Work from home,2000,2000,"Creative Writing, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Video Editing/Making,Work from home,5000,5000,"Adobe Illustrator, Adobe Premiere Pro, Final Cut Pro, Video Editing"
Graphic Design,Bangalore,10000,10000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, UI, UX Design, Video Editing"
Human Resources (HR),Work from home,3000,3000,Recruitment
Human Resources (HR),Noida,10000,10000,"English Proficiency Spoken, Human Resource Information System HRIS, MSExcel, MSOffice, Recruitment"
Marketing,Mumbai,8000,12000,"Client Interaction, Content Writing, Digital Marketing, Effective Communication, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Negotiation, Problemsolving, Social Media Marketing"
Market Research & Development,Work from home,2000,2000,"English Proficiency Spoken, English Proficiency Written, Google Suite G Suite"
Business Development (Sales),Delhi,10000,15000,"Business Research, English Proficiency Spoken, Sales, Sales pitch"
Quantitative Investment Analysis,Work from home,5000,10000,"Data Analysis, Python"
Business Development (Sales),Work from home,10000,10000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel"
Fundraising,Work from home,1000,1000,"Effective Communication, English Proficiency Spoken, English Proficiency Written"
Digital Marketing,Work from home,1000,1000,"Digital Marketing, Social Media Marketing"
Electrical Engineering,"Ahmedabad, Gandhinagar",5000,5000,"Analog And Digital Circuits, Arduino, AutoCAD, Autodesk Fusion 360, Circuit Design, PCB Design, PCB Soldering"
Manufacturing Excellence,"Faridabad, Delhi, Gurgaon",10000,10000,"MSExcel, Production Engineering"
Accounting & Tally,Lucknow,2000,10000,"Accounting, Tally"
Business Development (Sales),Pune,15000,15000,"Effective Communication, English Proficiency Spoken, Marketing, Sales"
Digital Marketing,Work from home,12000,12000,"Creative Writing, Digital Marketing, English Proficiency Written, Search Engine Optimization SEO"
Digital Marketing,Work from home,5000,5000,"Digital Marketing, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Social Media Marketing,Work from home,5000,5000,"Canva, Content Writing, Instagram Marketing, Social Media Marketing, Video Editing"
Mern Stack,Work from home,2500,7000,"Expressjs, GitHub, MongoDB, Nodejs, ReactJS, REST API"
Video Editing/Making,Pimpri-Chinchwad,15000,15000,"Final Cut Pro, Photography, Video Editing, Video Making"
Sales Consultant,Work from home,7000,7000,"Digital Marketing, Sales pitch"
Architecture,Gurgaon,15000,15000,"3ds Max, Adobe Illustrator, Adobe Photoshop, AutoCAD, Autodesk Revit, Google SketchUp, MSOffice, Rhino"
Video Editor,Work from home,8000,8000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Content Marketing, Content Writing, Research and Analytics, Video Editing, Video Making, YouTube Ads"
Female Trainer,Bangalore,15000,15000,"Online Teaching, Stock Trading, Teaching"
Customer Service/Customer Support,Work from home,6000,6000,"Client Relationship, Effective Communication"
Tele Sales & Tele Marketing,Bangalore,8000,8000,"Client Relationship, English Proficiency Spoken, Marketing, Social Media Marketing"
Search Engine Optimization (SEO),Work from home,8000,10000,"Digital Marketing, English Proficiency Written, Google AdWords, Google Analytics, Search Engine Marketing SEM, Search Engine Optimization SEO"
Digital Marketing,Work from home,1000,1000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
3D Motion Designer,Work from home,6000,12000,"Adobe After Effects, Blender 3D, Cinema 4D"
Content Development (English),Gurgaon,25000,30000,"Creative Writing, English Proficiency Spoken, English Proficiency Written, Event Management, Marketing, MSExcel, MSOffice, MSPowerPoint, Social Media Marketing"
Customer Service (Non-Voice Backend Process),Mumbai,15000,15000,"Advanced Excel, Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel"
Digital Marketing And Lead Generation Specialist (B2B International Focus),Work from home,1000,1000,"Email Marketing, Facebook Ads, Facebook Marketing, Google AdWords, Instagram Marketing, LinkedIn Marketing, Search Engine Optimization SEO"
Sales Officer - Medical Industry,Work from home,1000,10000,Sales
Business Development (Sales),Delhi,10000,10000,"CRM, Digital Marketing, English Proficiency Spoken, MSExcel"
Digital Marketing,Work from home,7000,10000,"Digital Advertising, Digital Marketing, Social Media Marketing"
Video Editing/Making,Work from home,2000,2000,"Video Editing, Video Making"
Social Media Marketing,Delhi,5000,5000,"Creative Writing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Problem Solving, Social Media Marketing, Video Editing"
Nutritionist / Dietitian,Delhi,2000,5000,"DieteticsNutrition, Email Marketing, English Proficiency Written"
Content Writing,Work from home,3000,3000,"Blogging, Creative Writing, English Proficiency Written, Research and Analytics, Search Engine Optimization SEO"
Instagram Reels Creator,Work from home,3000,3000,"Effective Communication, Video Making"
Architecture,"Mohali, Zirakpur, Panchkula, Chandigarh",8000,8000,"Adobe Photoshop, AutoCAD, Google SketchUp, MSOffice"
Digital Marketing,"Chennai, Avadi",4000,6000,"Creative Writing, Digital Marketing, Email Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Marketing,Noida,7000,8500,"Content Marketing, LinkedIn Marketing, Social Media Marketing"
Editorial,Gurgaon,15000,20000,"Creative Writing, English Proficiency Written, Proofreading"
Travel Consultant,Greater Noida,2000,2000,"Holiday Package Design, Operations, Sales, Travel Itinerary Making"
Digital Marketing,"Delhi, Ghaziabad, Noida",6000,10000,"English Proficiency Spoken, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Social Media Marketing,Work from home,1000,1000,"English Proficiency Written, Facebook Marketing, LinkedIn Marketing, Social Media Marketing"
Content Development & Marketing For Sustainable Fashion Startup,Work from home,4000,6000,"Content Marketing, Creative Writing, Digital Marketing"
UI/UX Design,Work from home,1500,1500,"Adobe Photoshop, Adobe XD, Figma, UI, UX Design"
Graphic Design,Delhi,5000,15000,"Adobe Illustrator, Adobe Photoshop, CorelDRAW"
Human Resources (HR),Indore,7000,10000,"Content Writing, Data Analytics, Digital Marketing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Human Resource Information System HRIS, MSOffice, Recruitment, Social Media Marketing"
Associate Consultant,Ajmer,5000,8000,"Accounting, English Proficiency Spoken, English Proficiency Written, Google Workspace, MSOffice, Statutory compliances"
Tech Mentor,Work from home,5000,5000,"Data Science, Django, Java, MEANMERN Stack, Python, ReactJS"
Video Editor/Graphic Designer,Work from home,2000,2000,"Adobe After Effects, Adobe Photoshop, Adobe Photoshop Lightroom CC"
Fundraising,Work from home,1000,1000,English Proficiency Spoken
Social Media Marketing,Mumbai,4000,5000,"Instagram Marketing, Social Media Marketing"
Chartered Accountancy (CA),Mumbai,7000,9000,"Accounting, MSExcel, MSOffice, MSWord, Tally"
Business Development,Mumbai,7000,7000,"Business Analysis, Business Research, Effective Communication, MSExcel, MSWord, Operations, Time Management"
Talent Acquisition,"Thane, Mumbai",7500,7500,"Effective Communication, Interpersonal Skills, Recruitment"
Video Editor/Graphic Designer,Work from home,2000,2000,"Adobe After Effects, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro"
Business Development (Sales),Chennai,5000,5000,"Digital Marketing, Email Marketing, English Proficiency Written, Social Media Marketing"
Field Executive,Bangalore,15000,15000,"Sales, Salesforce, Sales pitch"
Social Media Marketing,Work from home,4000,5000,"Creative Writing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing, WordPress"
CA Articleship,Pune,7000,7000,"Accounting, English Proficiency Spoken, English Proficiency Written, MSOffice, Problem Solving, Statutory compliances"
Business Development (Sales),Ahmedabad,5000,5000,"Business Research, English Proficiency Spoken, MSExcel, Social Media Marketing"
Business Analyst,Mumbai,7000,7000,"Effective Communication, MSExcel, MSWord, Power BI, Tableau, Time Management"
Digital Marketing,Delhi,8000,8000,"Digital Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Journalism,Noida,10000,10000,"Anchoring, Creative Writing, English Proficiency Spoken, English Proficiency Written, Video Editing, Video Making"
Photographer And Videographer,Delhi,5000,8000,"Adobe Creative Suite, Canva, Photography, Video Editing"
Sales,"Delhi, Gurgaon",15000,20000,"Content Marketing, English Proficiency Written, Holiday Package Design, MSExcel, Sales, Travel Itinerary Making"
Subject Matter Expert (SME),Work from home,6000,8000,"Data Analytics, Data Science, Deep Learning, English Proficiency Spoken, English Proficiency Written, GitHub, Image Processing, Machine Learning, MSOffice, MSWord, Natural Language Processing NLP, Python, R Programming, Subject Matter Expert SME"
Product Development,Bangalore,10000,20000,"Mechanical, Electrical Product Design"
Fundraiser,Delhi,5000,5000,Sales
Server Admin & Networking,Chandigarh,10000,12000,"Bash, Nginx, Python"
Backend Development,Kolkata,10000,10000,Golang
Data Entry,Surat,5000,5000,"Gujarati Proficiency Spoken, MSExcel"
Business Development (Sales),Gurgaon,10000,15000,English Proficiency Spoken
Marketing,"Chandigarh, Panchkula",3000,3000,"Digital Marketing, Effective Communication, Email Marketing, MSOffice"
Office Coordinator,Noida,15000,15000,"5 days a week, Job offer"
Search Engine Optimization (SEO),Work from home,1000,1000,"Digital Marketing, English Proficiency Written, Google AdWords, Google Analytics, Search Engine Marketing SEM, Search Engine Optimization SEO"
Business Development (Sales),Work from home,5000,5000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
ECommerce,Work from home,2000,2000,Social Media Marketing
Auditing & Accounting,Mumbai,5000,5000,"MSExcel, Tally"
Marketing,Bangalore,8000,8000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Business Development (Sales),Jaipur,5000,5000,Effective Communication
Business Development,Noida,5000,7000,"Client Interaction, Client Relationship, Effective Communication, English Proficiency Spoken, English Proficiency Written, MSOffice, Sales, Sales pitch"
Human Resources (HR),Noida,10000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
Facebook Marketing,Work from home,2000,5000,"Display Advertising, Facebook Marketing, Google AdWords, Instagram Marketing, Social Media Marketing"
Business Management,Mumbai,5000,10000,"MSExcel, MSOffice"
Laravel Expert,Work from home,4000,4000,"AJAX, jQuery, LARAVEL"
Social Media Marketing,Work from home,2500,5000,"Digital Marketing, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Telecalling,Indore,12000,12000,Effective Communication
Video Editing/Making,Bangalore,15000,15000,"Adobe Premiere Pro, DaVinci Resolve, Final Cut Pro, Video Editing"
Social Media Marketing,Delhi,10000,12000,"Digital Marketing, Email Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Social Media Marketing"
Social Media Marketing,Thane,5000,5000,"Digital Marketing, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Graphic Design,Bangalore,20000,20000,"Adobe Illustrator, Adobe Photoshop, Animation, Figma, UI, UX Design, Video Editing"
Media & Public Relations (PR),Mumbai,10000,10000,"Creative Writing, English Proficiency Spoken, English Proficiency Written"
Administration,Noida,10000,12000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSPowerPoint, MSWord"
Angular.js Development,Ahmedabad,8000,8000,"Angular 20, AngularJS, CSS, HTML, JavaScript"
Human Resources (HR),Hyderabad,15000,15000,"MSExcel, MSPowerPoint, Recruitment"
Telecalling,Work from home,8000,8000,"English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel"
Digital Marketing,Hyderabad,12000,12000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Google AdWords, Search Engine Optimization SEO, Social Media Marketing"
Interior Design,Work from home,10000,10000,Google SketchUp
Customer Service/Customer Support,Jaipur,7000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Graphic Design,Gurgaon,15000,15000,"Adobe Illustrator, Adobe Photoshop, MSPowerPoint"
Operations,Mumbai,10000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
Business Development (Sales),Pune,7000,7000,"Client Relationship, Effective Communication, Email Marketing, English Proficiency Spoken, Lead Generation, Sales, Sales pitch"
Business Development (Sales),Bangalore,10000,10000,"Business Analysis, Business Research, Client Interaction, Email Marketing, English Proficiency Spoken, Sales, Sales pitch"
Event Management,Delhi,8000,8000,"English Proficiency Spoken, English Proficiency Written, Event Management, Google Workspace, Travel Itinerary Making"
Talent Acquisition,Pune,10000,10000,"Effective Communication, MSExcel"
Business Development (Sales),Work from home,10000,20000,"Digital Marketing, English Proficiency Written, MSExcel, Social Media Marketing"
Graphic Design,Ghaziabad,10000,10000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Indesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, CorelDRAW, UI, UX Design, Video Editing"
Marketing,Chennai,10000,10000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Architecture,Dehradun,8000,8000,"AutoCAD, Google SketchUp"
Human Resources (HR),Pune,5000,12000,"Effective Communication, English Proficiency Spoken"
Architecture,Bangalore,20000,20000,"AutoCAD, Autodesk Revit, Google SketchUp"
Business Development (Sales),Bangalore,5000,5000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Content Writing,Noida,10000,10000,"Blogging, Creative Writing, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Interior Design,Jaipur,15000,15000,"3ds Max, Google SketchUp"
Customer Success,Work from home,10000,10000,"CRM, Sales"
Search Engine Optimization (SEO),Noida,10000,12000,Search Engine Optimization SEO
Digital Marketing & Business Development Intern,Kolkata,8000,8000,"Digital Marketing, Facebook Marketing, Instagram Marketing, LinkedIn Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Operations,Ahmedabad,7500,7500,"Canva, English Proficiency Written, Google Suite G Suite, MSExcel"
Digital Marketing,Work from home,7000,7000,"Digital Marketing, Email Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Speech Data Validation - Kannada,Work from home,1000,1000,"Kannada Proficiency Spoken, Kannada Proficiency Written"
Video Editing/Making,Bangalore,8000,8000,"Adobe Illustrator, Adobe Premiere Pro, Canva, Final Cut Pro, Video Editing, Video Making"
Cloud Computing,Work from home,15000,15000,"Amazon Web Services AWS, Cloud Computing, Microsoft Azure"
Sales Consultant,Bangalore,4000,4000,Sales
Digital Marketing,Mumbai,8000,10000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing, UI, UX Design"
Human Resources (HR),Bangalore,10000,10000,"English Proficiency Spoken, Recruitment"
Data Entry,Pune,5000,5000,"Adobe Photoshop, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, MSOffice, Photography"
Financial Technical Analysis (Intraday Trading),Work from home,19000,19000,"Financial literacy, Financial Modeling, Mathematics, Stock Trading"
Operations & Event,Kolkata,8500,8500,"English Proficiency Spoken, English Proficiency Written, MSOffice"
Business Development (Sales),Work from home,3000,3000,"Adobe Photoshop, Digital Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Operations,Jodhpur,6000,6000,"Business Analysis, Interpersonal Skills, MSExcel, MSOffice"
Network Engineering,Work from home,15000,15000,"CCNA, Computer Networking, Computer Networks, Linux"
Search Engine Optimization (SEO),Lucknow,5000,5000,"Digital Marketing, Google Analytics, Search Engine Optimization SEO"
Speech Data Validation - Malayalam,Work from home,1000,1000,"Malayalam Proficiency Spoken, Malayalam Proficiency Written"
Speech Data Validation - Urdu,Work from home,1000,1000,"Urdu ProficiencySpoken, Urdu ProficiencyWritten"
Accounting & Bookkeeping,Mumbai,10000,10000,"Accounting, MSExcel, Tally"
Business Development (Sales),Work from home,2000,2000,"Content Marketing, Digital Marketing, Email Marketing, Marketing Campaigns, Marketing Programs, Sales, Social Media Marketing"
Customer Service/Customer Support,Mumbai,18000,21000,"English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel"
Luxury Retail Consultant,Delhi,15000,25000,"Canva, Copywriting, Effective Communication, Marketing, MSOffice"
Business Development (Sales),Work from home,15000,15000,"English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel, Sales, Sales pitch"
Subject Matter Expert (SME),Work from home,4000,5000,"Mathematics, Subject Matter Expert SME"
Speech Data Validation - Marathi,Work from home,1000,1000,"Marathi ProficiencySpoken, Marathi ProficiencyWritten"
Human Resources (HR),Gurgaon,8000,12000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Interpersonal Skills, MSExcel, MSOffice, Recruitment"
Horticulturist - Landscape Supervisor,Karnataka,5000,15000,"Accounting, Creative Writing, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Kannada Proficiency Spoken, MSExcel, MSWord"
Marketing,Work from home,1000,1000,"Digital Marketing, Sales, Social Media Marketing"
Brand Management,Mumbai,10000,10000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Digital Marketing,Delhi,12000,12000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written"
Administration,Thane,13000,13000,"Marathi ProficiencySpoken, Marathi ProficiencyWritten, MSExcel, MSOffice, MSPowerPoint, MSWord"
Content Writing,Mumbai,10000,15000,"Creative Writing, Digital Marketing, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Digital Marketing,Work from home,1500,1500,"Creative Writing, Digital Marketing, Email Marketing, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Business Development (Sales),"Delhi, Ghaziabad, Noida",15000,15000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Interpersonal Skills, MSExcel, MSOffice, Sales"
Video Editing/Making,"Faridabad, Delhi, Noida",6000,10000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Human Resources (HR),Work from home,10000,10000,"English Proficiency Spoken, English Proficiency Written, Recruitment"
Fashion Design And Merchandising,Delhi,5000,5000,Fashion Designing
Music Producer,Work from home,2000,5000,"Ableton Live, Audio Editing, Audio Making, FL Studio formerly known as FruityLoops, Music"
Inventory Manager,Work from home,5000,5000,MSExcel
Human Resources (HR),Hyderabad,8000,8000,"English Proficiency Written, MSWord"
Human Resources (HR),Mumbai,10000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
Inside Sales,"Delhi, Bangalore",30000,30000,"Informal dress code, 5 days a week"
Investment,Thane,5000,5000,"Effective Communication, Financial literacy, Investing, MSExcel, Research and Analytics"
Blockchain Developer – Exchange And Wallet Development,Work from home,5000,10000,Blockchain
Business Development (Sales),Work from home,2000,2000,"Digital Marketing, Email Marketing, English Proficiency Spoken, Hindi Proficiency Spoken, LinkedIn Marketing, MSExcel, Sales, Sales pitch, Social Media Marketing, Telugu Proficiency Spoken"
WordPress Development,Work from home,2500,2500,"Figma, Search Engine Optimization SEO, WordPress"
Business Development (Sales),Work from home,5000,5000,"Adobe Creative Suite, Adobe Photoshop Lightroom CC, CorelDRAW, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Sales pitch, Social Media Marketing, UI, UX Design, Video Editing"
Search Engine Optimization (SEO),Mumbai,5000,10000,"Digital Marketing, English Proficiency Written, Search Engine Marketing SEM, Search Engine Optimization SEO"
Architecture,Bodhgaya,10000,10000,"3ds Max, AutoCAD, Autodesk Revit, Google SketchUp, MSOffice, No Match Found"
